order_id,order_date,region,product_id,qty,unit_price
1001,2026-03-02,Tokyo,P001,2,4980
1002,2026-03-04,Osaka,P002,1,12800
1003,2026-03-05,Tokyo,P003,3,3980
1004,2026-03-08,Nagoya,P004,1,3200
1005,2026-03-10,Tokyo,P001,1,4980
1006,2026-03-12,Sapporo,P007,2,5800
1007,2026-03-14,Fukuoka,P005,2,4800
1008,2026-03-15,Tokyo,P002,1,12800
1009,2026-03-17,Osaka,P008,3,2400
1010,2026-03-19,Tokyo,P006,1,5400
1011,2026-03-21,Nagoya,P001,4,4980
1012,2026-03-23,Sapporo,P003,2,3980
1013,2026-03-25,Tokyo,P009,5,1800
1014,2026-04-02,Osaka,P010,3,1500
1015,2026-04-04,Tokyo,P007,1,5800
1016,2026-04-07,Fukuoka,P002,2,12800
1017,2026-04-09,Tokyo,P001,3,4980
1018,2026-04-11,Nagoya,P005,1,4800
1019,2026-04-13,Tokyo,P004,2,3200
1020,2026-04-16,Osaka,P006,1,5400
1021,2026-04-18,Tokyo,P003,2,3980
1022,2026-04-20,Sapporo,P008,4,2400
1023,2026-04-22,Tokyo,P001,1,4980
1024,2026-04-25,Fukuoka,P009,3,1800
1025,2026-05-01,Tokyo,P002,2,12800
1026,2026-05-03,Osaka,P007,1,5800
1027,2026-05-05,Tokyo,P010,5,1500
1028,2026-05-08,Nagoya,P003,2,3980
1029,2026-05-10,Tokyo,P005,1,4800
1030,2026-05-12,Sapporo,P006,1,5400
1031,2026-05-15,Tokyo,P001,4,4980
1032,2026-05-17,Osaka,P004,2,3200
1033,2026-05-20,Fukuoka,P007,1,5800
1034,2026-05-22,Tokyo,P002,1,12800
1035,2026-05-25,Nagoya,P010,3,1500
1036,2026-05-28,Tokyo,P003,2,3980
1037,2026-05-30,Sapporo,P009,2,1800
1038,2026-06-01,Tokyo,P006,1,5400
1039,2026-06-03,Osaka,P001,3,4980
1040,2026-06-04,Tokyo,P008,2,2400
